Date,Match,Attacker_Rating,Defender,Defender_Team,Defender_Rating,Backline_Avg
2025-12-06,Manchester City vs Sunderland,6.0,Nordi Mukiele,Sunderland,6.5,6.539999999999999
2025-12-06,Manchester City vs Sunderland,6.0,Lutsharel Geertruida,Sunderland,7.4,6.539999999999999
2025-12-06,Manchester City vs Sunderland,6.0,Daniel Ballard,Sunderland,6.0,6.539999999999999
2025-12-06,Manchester City vs Sunderland,6.0,Omar Alderete,Sunderland,6.2,6.539999999999999
2025-12-06,Manchester City vs Sunderland,6.0,Trai Hume,Sunderland,6.6,6.539999999999999
2025-12-10,Real Madrid vs Manchester City,7.1,Federico Valverde,Real Madrid,6.5,6.1
2025-12-10,Real Madrid vs Manchester City,7.1,Raúl Asencio,Real Madrid,6.2,6.1
2025-12-10,Real Madrid vs Manchester City,7.1,Antonio Rudiger,Real Madrid,5.5,6.1
2025-12-10,Real Madrid vs Manchester City,7.1,Álvaro Carreras,Real Madrid,6.2,6.1
2025-12-14,Crystal Palace vs Manchester City,8.4,Chris Richards,Crystal Palace,6.2,6.266666666666667
2025-12-14,Crystal Palace vs Manchester City,8.4,Maxence Lacroix,Crystal Palace,6.5,6.266666666666667
2025-12-14,Crystal Palace vs Manchester City,8.4,Marc Guéhi,Crystal Palace,6.1,6.266666666666667
2025-12-20,Manchester City vs West Ham United,8.7,Kyle Walker-Peters,West Ham United,5.8,6.233333333333333
2025-12-20,Manchester City vs West Ham United,8.7,Max Kilman,West Ham United,6.3,6.233333333333333
2025-12-20,Manchester City vs West Ham United,8.7,Jean-Clair Todibo,West Ham United,6.0,6.233333333333333
2025-12-20,Manchester City vs West Ham United,8.7,Oliver Scarles,West Ham United,6.3,6.233333333333333
2025-12-20,Manchester City vs West Ham United,8.7,Ezra Mayers,West Ham United,6.4,6.233333333333333
2025-12-20,Manchester City vs West Ham United,8.7,Konstantinos Mavropanos,West Ham United,6.6,6.233333333333333
2025-12-27,Nottingham Forest vs Manchester City,6.4,Nicolò Savona,Nottingham Forest,6.4,6.7
