Date,Match,Attacker_Rating,Defender,Defender_Team,Defender_Rating,Backline_Avg
2025-11-22,FC Bayern München vs SC Freiburg,8.0,Philipp Treu,SC Freiburg,5.3,5.56
2025-11-22,FC Bayern München vs SC Freiburg,8.0,Matthias Ginter,SC Freiburg,5.1,5.56
2025-11-22,FC Bayern München vs SC Freiburg,8.0,Max Rosenfelder,SC Freiburg,5.8,5.56
2025-11-22,FC Bayern München vs SC Freiburg,8.0,Jordy Makengo,SC Freiburg,5.5,5.56
2025-11-22,FC Bayern München vs SC Freiburg,8.0,Philipp Lienhart,SC Freiburg,6.1,5.56
2025-11-26,Arsenal vs FC Bayern München,6.8,Jurriën Timber,Arsenal,7.8,6.833333333333333
2025-11-26,Arsenal vs FC Bayern München,6.8,William Saliba,Arsenal,6.3,6.833333333333333
2025-11-26,Arsenal vs FC Bayern München,6.8,Cristhian Mosquera,Arsenal,6.8,6.833333333333333
2025-11-26,Arsenal vs FC Bayern München,6.8,Myles Lewis-Skelly,Arsenal,6.0,6.833333333333333
2025-11-26,Arsenal vs FC Bayern München,6.8,Riccardo Calafiori,Arsenal,7.4,6.833333333333333
2025-11-26,Arsenal vs FC Bayern München,6.8,Ben White,Arsenal,6.7,6.833333333333333
2025-11-29,FC Bayern München vs FC St. Pauli,6.1,Arkadiusz Pyrka,FC St. Pauli,6.5,6.25
2025-11-29,FC Bayern München vs FC St. Pauli,6.1,Hauke Wahl,FC St. Pauli,6.4,6.25
2025-11-29,FC Bayern München vs FC St. Pauli,6.1,Eric Smith,FC St. Pauli,6.3,6.25
2025-11-29,FC Bayern München vs FC St. Pauli,6.1,Karol Mets,FC St. Pauli,5.9,6.25
2025-11-29,FC Bayern München vs FC St. Pauli,6.1,Lars Ritzka,FC St. Pauli,6.4,6.25
2025-11-29,FC Bayern München vs FC St. Pauli,6.1,Louis Oppie,FC St. Pauli,6.0,6.25
2025-12-03,1. FC Union Berlin vs FC Bayern München,6.9,Danilho Doekhi,1. FC Union Berlin,5.7,6.425
2025-12-03,1. FC Union Berlin vs FC Bayern München,6.9,Leopold Querfeld,1. FC Union Berlin,7.1,6.425
2025-12-03,1. FC Union Berlin vs FC Bayern München,6.9,Diogo Leite,1. FC Union Berlin,6.1,6.425
2025-12-03,1. FC Union Berlin vs FC Bayern München,6.9,Stanley N'Soki,1. FC Union Berlin,6.8,6.425
2025-12-06,VfB Stuttgart vs FC Bayern München,9.2,Josha Vagnoman,VfB Stuttgart,6.3,5.68
2025-12-06,VfB Stuttgart vs FC Bayern München,9.2,Ameen Al-Dakhil,VfB Stuttgart,5.5,5.68
2025-12-06,VfB Stuttgart vs FC Bayern München,9.2,Ramon Hendriks,VfB Stuttgart,5.8,5.68
2025-12-06,VfB Stuttgart vs FC Bayern München,9.2,Maximilian Mittelstädt,VfB Stuttgart,6.4,5.68
2025-12-06,VfB Stuttgart vs FC Bayern München,9.2,Lorenz Assignon,VfB Stuttgart,4.4,5.68
2025-12-09,FC Bayern München vs Sporting CP,6.7,Iván Fresneda,Sporting CP,5.9,6.214285714285714
2025-12-09,FC Bayern München vs Sporting CP,6.7,Eduardo Quaresma,Sporting CP,5.8,6.214285714285714
2025-12-09,FC Bayern München vs Sporting CP,6.7,Ousmane Diomande,Sporting CP,6.7,6.214285714285714
2025-12-09,FC Bayern München vs Sporting CP,6.7,Matheus Reis,Sporting CP,6.6,6.214285714285714
2025-12-09,FC Bayern München vs Sporting CP,6.7,Maximiliano Araújo,Sporting CP,5.7,6.214285714285714
2025-12-09,FC Bayern München vs Sporting CP,6.7,Ricardo Mangas,Sporting CP,6.0,6.214285714285714
2025-12-09,FC Bayern München vs Sporting CP,6.7,Giorgos Vagiannidis,Sporting CP,6.8,6.214285714285714
