Date,Match,Opponent,Attacker_Rating
2025-11-22,FC Bayern München vs SC Freiburg,Philipp Treu,8.0
2025-11-22,FC Bayern München vs SC Freiburg,Matthias Ginter,8.0
2025-11-22,FC Bayern München vs SC Freiburg,Max Rosenfelder,8.0
2025-11-22,FC Bayern München vs SC Freiburg,Jordy Makengo,8.0
2025-11-22,FC Bayern München vs SC Freiburg,Philipp Lienhart,8.0
2025-11-26,Arsenal vs FC Bayern München,Jurriën Timber,6.8
2025-11-26,Arsenal vs FC Bayern München,William Saliba,6.8
2025-11-26,Arsenal vs FC Bayern München,Cristhian Mosquera,6.8
2025-11-26,Arsenal vs FC Bayern München,Myles Lewis-Skelly,6.8
2025-11-26,Arsenal vs FC Bayern München,Riccardo Calafiori,6.8
2025-11-26,Arsenal vs FC Bayern München,Ben White,6.8
2025-11-29,FC Bayern München vs FC St. Pauli,Arkadiusz Pyrka,6.1
2025-11-29,FC Bayern München vs FC St. Pauli,Hauke Wahl,6.1
2025-11-29,FC Bayern München vs FC St. Pauli,Eric Smith,6.1
2025-11-29,FC Bayern München vs FC St. Pauli,Karol Mets,6.1
2025-11-29,FC Bayern München vs FC St. Pauli,Lars Ritzka,6.1
2025-11-29,FC Bayern München vs FC St. Pauli,Louis Oppie,6.1
2025-12-03,1. FC Union Berlin vs FC Bayern München,Danilho Doekhi,6.9
2025-12-03,1. FC Union Berlin vs FC Bayern München,Leopold Querfeld,6.9
2025-12-03,1. FC Union Berlin vs FC Bayern München,Diogo Leite,6.9
2025-12-03,1. FC Union Berlin vs FC Bayern München,Stanley N'Soki,6.9
2025-12-06,VfB Stuttgart vs FC Bayern München,Josha Vagnoman,9.2
2025-12-06,VfB Stuttgart vs FC Bayern München,Ameen Al-Dakhil,9.2
2025-12-06,VfB Stuttgart vs FC Bayern München,Ramon Hendriks,9.2
2025-12-06,VfB Stuttgart vs FC Bayern München,Maximilian Mittelstädt,9.2
2025-12-06,VfB Stuttgart vs FC Bayern München,Lorenz Assignon,9.2
2025-12-09,FC Bayern München vs Sporting CP,Iván Fresneda,6.7
2025-12-09,FC Bayern München vs Sporting CP,Eduardo Quaresma,6.7
2025-12-09,FC Bayern München vs Sporting CP,Ousmane Diomande,6.7
2025-12-09,FC Bayern München vs Sporting CP,Matheus Reis,6.7
2025-12-09,FC Bayern München vs Sporting CP,Maximiliano Araújo,6.7
2025-12-09,FC Bayern München vs Sporting CP,Ricardo Mangas,6.7
2025-12-09,FC Bayern München vs Sporting CP,Giorgos Vagiannidis,6.7
2025-12-14,FC Bayern München vs 1. FSV Mainz 05,Sota Kawasaki,7.2
2025-12-14,FC Bayern München vs 1. FSV Mainz 05,Danny da Costa,7.2
2025-12-14,FC Bayern München vs 1. FSV Mainz 05,Stefan Bell,7.2
2025-12-14,FC Bayern München vs 1. FSV Mainz 05,Kacper Potulski,7.2
2025-12-14,FC Bayern München vs 1. FSV Mainz 05,Nikolas Veratschnig,7.2
2025-12-21,1. FC Heidenheim vs FC Bayern München,Haktab Omar Traore,8.0
2025-12-21,1. FC Heidenheim vs FC Bayern München,Marnon Busch,8.0
2025-12-21,1. FC Heidenheim vs FC Bayern München,Patrick Mainka,8.0
2025-12-21,1. FC Heidenheim vs FC Bayern München,Benedikt Gimber,8.0
2025-12-21,1. FC Heidenheim vs FC Bayern München,Jonas Fohrenbach,8.0
2026-01-06,Red Bull Salzburg vs FC Bayern München,Tim Trummer,6.3
2026-01-06,Red Bull Salzburg vs FC Bayern München,Joane Gadou,6.3
2026-01-06,Red Bull Salzburg vs FC Bayern München,Jannik Schuster,6.3
2026-01-06,Red Bull Salzburg vs FC Bayern München,Frans Krätzig,6.3
2026-01-06,Red Bull Salzburg vs FC Bayern München,Jacob Rasmussen,6.3
2026-01-06,Red Bull Salzburg vs FC Bayern München,Stefan Lainer,6.3
2026-01-06,Red Bull Salzburg vs FC Bayern München,Douglas Mendes,6.3
2026-01-11,FC Bayern München vs VfL Wolfsburg,Saël Kumbedi,8.8
2026-01-11,FC Bayern München vs VfL Wolfsburg,Moritz Jenz,8.8
2026-01-11,FC Bayern München vs VfL Wolfsburg,Konstantinos Koulierakis,8.8
2026-01-11,FC Bayern München vs VfL Wolfsburg,Kilian Fischer,8.8
2026-01-11,FC Bayern München vs VfL Wolfsburg,Denis Vavro,8.8
2026-01-14,1. FC Köln vs FC Bayern München,Sebastian Sebulonsen,7.3
2026-01-14,1. FC Köln vs FC Bayern München,Jahmai Simpson-Pusey,7.3
2026-01-14,1. FC Köln vs FC Bayern München,Cenk Özkaçar,7.3
2026-01-17,RB Leipzig vs FC Bayern München,Ridle Baku,7.8
2026-01-17,RB Leipzig vs FC Bayern München,Willi Orban,7.8
2026-01-17,RB Leipzig vs FC Bayern München,Castello Lukeba,7.8
2026-01-17,RB Leipzig vs FC Bayern München,David Raum,7.8
2026-01-21,FC Bayern München vs Royale Union Saint-Gilloise,Kevin Mac Allister,7.9
2026-01-21,FC Bayern München vs Royale Union Saint-Gilloise,Christian Burgess,7.9
2026-01-21,FC Bayern München vs Royale Union Saint-Gilloise,Ross Sykes,7.9
2026-01-21,FC Bayern München vs Royale Union Saint-Gilloise,Fedde Leysen,7.9
2026-01-21,FC Bayern München vs Royale Union Saint-Gilloise,Louis Patris,7.9
2026-01-24,FC Bayern München vs FC Augsburg,Arthur Chaves,6.4
2026-01-24,FC Bayern München vs FC Augsburg,Keven Schlotterbeck,6.4
2026-01-24,FC Bayern München vs FC Augsburg,Cedric Zesiger,6.4
2026-01-28,PSV Eindhoven vs FC Bayern München,Sergiño Dest,8.3
2026-01-28,PSV Eindhoven vs FC Bayern München,Jerdy Schouten,8.3
2026-01-28,PSV Eindhoven vs FC Bayern München,Armando Obispo,8.3
2026-01-28,PSV Eindhoven vs FC Bayern München,Mauro Júnior,8.3
2026-01-31,Hamburger SV vs FC Bayern München,Nicolás Capaldo,7.0
2026-01-31,Hamburger SV vs FC Bayern München,Luka Vušković,7.0
2026-01-31,Hamburger SV vs FC Bayern München,Daniel Elfadli,7.0
2026-01-31,Hamburger SV vs FC Bayern München,Giorgi Gocholeishvili,7.0
2026-01-31,Hamburger SV vs FC Bayern München,Warmed Omari,7.0
2026-02-08,FC Bayern München vs TSG Hoffenheim,Vladimir Coufal,8.5
2026-02-08,FC Bayern München vs TSG Hoffenheim,Kevin Akpoguma,8.5
2026-02-08,FC Bayern München vs TSG Hoffenheim,Ozan Kabak,8.5
2026-02-08,FC Bayern München vs TSG Hoffenheim,Albian Hajdari,8.5
2026-02-08,FC Bayern München vs TSG Hoffenheim,Valentin Gendrey,8.5
2026-02-11,FC Bayern München vs RB Leipzig,Ridle Baku,7.0
2026-02-11,FC Bayern München vs RB Leipzig,Willi Orban,7.0
2026-02-11,FC Bayern München vs RB Leipzig,Castello Lukeba,7.0
2026-02-11,FC Bayern München vs RB Leipzig,David Raum,7.0
2026-02-14,SV Werder Bremen vs FC Bayern München,Niklas Stark,8.3
2026-02-14,SV Werder Bremen vs FC Bayern München,Marco Friedl,8.3
2026-02-14,SV Werder Bremen vs FC Bayern München,Karim Coulibaly,8.3
2026-02-14,SV Werder Bremen vs FC Bayern München,Julián Malatini,8.3
2026-02-14,SV Werder Bremen vs FC Bayern München,Isaac Schmidt,8.3
2026-02-14,SV Werder Bremen vs FC Bayern München,Yukinari Sugawara,8.3
2026-02-21,FC Bayern München vs Eintracht Frankfurt,Nnamdi Collins,8.2
2026-02-21,FC Bayern München vs Eintracht Frankfurt,Ellyes Skhiri,8.2
2026-02-21,FC Bayern München vs Eintracht Frankfurt,Aurèle Amenda,8.2
2026-02-21,FC Bayern München vs Eintracht Frankfurt,Elias Baum,8.2
2026-02-28,Borussia Dortmund vs FC Bayern München,Emre Can,8.7
2026-02-28,Borussia Dortmund vs FC Bayern München,Waldemar Anton,8.7
2026-02-28,Borussia Dortmund vs FC Bayern München,Nico Schlotterbeck,8.7
2026-02-28,Borussia Dortmund vs FC Bayern München,Ramy Bensebaini,8.7
2026-03-14,Bayer 04 Leverkusen vs FC Bayern München,Jarell Quansah,6.9
2026-03-14,Bayer 04 Leverkusen vs FC Bayern München,Robert Andrich,6.9
2026-03-14,Bayer 04 Leverkusen vs FC Bayern München,Edmond Tapsoba,6.9
2026-03-18,FC Bayern München vs Atalanta,Odilon Kossounou,9.1
2026-03-18,FC Bayern München vs Atalanta,Isak Hien,9.1
2026-03-18,FC Bayern München vs Atalanta,Giorgio Scalvini,9.1
