Defender,Team,Defender_Rating,Attacker_Rating,Backline_Avg
Kyle Walker-Peters,West Ham United,5.8,8.0,6.233333333333333
Max Kilman,West Ham United,6.3,8.0,6.233333333333333
Jean-Clair Todibo,West Ham United,6.0,8.0,6.233333333333333
Oliver Scarles,West Ham United,6.3,8.0,6.233333333333333
Ezra Mayers,West Ham United,6.4,8.0,6.233333333333333
Konstantinos Mavropanos,West Ham United,6.6,8.0,6.233333333333333
Nicolò Savona,Nottingham Forest,6.4,8.4,6.7
Nikola Milenković,Nottingham Forest,6.9,8.4,6.7
Murillo,Nottingham Forest,7.3,8.4,6.7
Neco Williams,Nottingham Forest,6.2,8.4,6.7
Trai Hume,Sunderland,6.6,7.6,7.3
Nordi Mukiele,Sunderland,7.5,7.6,7.3
Omar Alderete,Sunderland,7.8,7.6,7.3
Dennis Cirkin,Sunderland,7.3,7.6,7.3
Josh Acheampong,Chelsea,6.4,6.5,6.56
Trevoh Chalobah,Chelsea,6.7,6.5,6.56
Benoît Badiashile,Chelsea,6.9,6.5,6.56
Malo Gusto,Chelsea,6.2,6.5,6.56
Jorrel Hato,Chelsea,6.6,6.5,6.56
Jack Hinshelwood,Brighton & Hove Albion,7.4,7.9,6.875
Jan Paul van Hecke,Brighton & Hove Albion,6.8,7.9,6.875
Lewis Dunk,Brighton & Hove Albion,6.9,7.9,6.875
Maxim De Cuyper,Brighton & Hove Albion,6.4,7.9,6.875
Ed Turns,Exeter City,4.7,7.1,4.5
Jack Fitzwater,Exeter City,4.1,7.1,4.5
Luca Woodhouse,Exeter City,4.7,7.1,4.5
Lewis Miley,Newcastle United,6.3,7.7,6.640000000000001
Malick Thiaw,Newcastle United,6.5,7.7,6.640000000000001
Sven Botman,Newcastle United,6.6,7.7,6.640000000000001
Lewis Hall,Newcastle United,7.6,7.7,6.640000000000001
Kieran Trippier,Newcastle United,6.2,7.7,6.640000000000001
Diogo Dalot,Manchester United,7.0,6.7,7.1
Harry Maguire,Manchester United,7.0,6.7,7.1
Lisandro Martínez,Manchester United,7.5,6.7,7.1
Luke Shaw,Manchester United,6.9,6.7,7.1
Fredrik Sjøvold,Bodø/Glimt,6.4,8.1,6.68
Odin Luras Bjørtuft,Bodø/Glimt,6.7,8.1,6.68
Jostein Gundersen,Bodø/Glimt,6.9,8.1,6.68
Fredrik André Bjørkan,Bodø/Glimt,6.8,8.1,6.68
Isak Dybvik Määttä,Bodø/Glimt,6.6,8.1,6.68
Yerson Mosquera,Wolverhampton,6.1,6.4,6.425
Santiago Bueno,Wolverhampton,6.5,6.4,6.425
Ladislav Krejčí,Wolverhampton,6.4,6.4,6.425
Rodrigo Gomes,Wolverhampton,6.7,6.4,6.425
