Date,Match,Opponent,Attacker_Rating
2025-11-23,Arsenal vs Tottenham Hotspur,Kevin Danso,6.9
2025-11-23,Arsenal vs Tottenham Hotspur,Cristian Romero,6.9
2025-11-23,Arsenal vs Tottenham Hotspur,Micky van de Ven,6.9
2025-11-23,Arsenal vs Tottenham Hotspur,Pedro Porro,6.9
2025-11-26,Arsenal vs FC Bayern München,Josip Stanišić,6.7
2025-11-26,Arsenal vs FC Bayern München,Dayot Upamecano,6.7
2025-11-26,Arsenal vs FC Bayern München,Jonathan Tah,6.7
2025-11-26,Arsenal vs FC Bayern München,Konrad Laimer,6.7
2025-11-26,Arsenal vs FC Bayern München,Raphael Guerreiro,6.7
2025-11-26,Arsenal vs FC Bayern München,Min-jae Kim,6.7
2025-11-30,Chelsea vs Arsenal,Malo Gusto,7.4
2025-11-30,Chelsea vs Arsenal,Wesley Fofana,7.4
2025-11-30,Chelsea vs Arsenal,Trevoh Chalobah,7.4
2025-11-30,Chelsea vs Arsenal,Marc Cucurella,7.4
2025-12-03,Arsenal vs Brentford,Michael Kayode,8.2
2025-12-03,Arsenal vs Brentford,Kristoffer Ajer,8.2
2025-12-03,Arsenal vs Brentford,Ethan Pinnock,8.2
2025-12-03,Arsenal vs Brentford,Sepp van den Berg,8.2
2025-12-03,Arsenal vs Brentford,Rico Henry,8.2
2025-12-03,Arsenal vs Brentford,Nathan Collins,8.2
2025-12-06,Aston Villa vs Arsenal,Matty Cash,6.5
2025-12-06,Aston Villa vs Arsenal,Ezri Konsa,6.5
2025-12-06,Aston Villa vs Arsenal,Pau Torres,6.5
2025-12-06,Aston Villa vs Arsenal,Ian Maatsen,6.5
2025-12-06,Aston Villa vs Arsenal,Victor Lindelof,6.5
2025-12-10,Club Brugge KV vs Arsenal,Hugo Siquet,6.4
2025-12-10,Club Brugge KV vs Arsenal,Joel Ordóñez,6.4
2025-12-10,Club Brugge KV vs Arsenal,Brandon Mechele,6.4
2025-12-10,Club Brugge KV vs Arsenal,Joaquin Seys,6.4
2025-12-10,Club Brugge KV vs Arsenal,Bjorn Meijer,6.4
2025-12-10,Club Brugge KV vs Arsenal,Kyriani Sabbe,6.4
2025-12-13,Arsenal vs Wolverhampton,Yerson Mosquera,8.5
2025-12-13,Arsenal vs Wolverhampton,Emmanuel Agbadou,8.5
2025-12-13,Arsenal vs Wolverhampton,Toti Gomes,8.5
2025-12-13,Arsenal vs Wolverhampton,Jackson Tchatchoua,8.5
2025-12-20,Everton vs Arsenal,Jake O'Brien,6.6
2025-12-20,Everton vs Arsenal,James Tarkowski,6.6
